transaction_id,product_id,date,transaction_type,quantity,stock_after,is_anomaly
1,1,2025-12-15,RESTOCK,77,77,False
222,2,2025-12-15,RESTOCK,153,153,False
419,3,2025-12-15,RESTOCK,165,165,False
627,4,2025-12-15,RESTOCK,81,81,False
851,5,2025-12-15,RESTOCK,68,68,False
1045,6,2025-12-15,RESTOCK,87,87,False
1246,7,2025-12-15,RESTOCK,106,106,False
1457,8,2025-12-15,RESTOCK,152,152,False
1676,9,2025-12-15,RESTOCK,113,113,False
1892,10,2025-12-15,RESTOCK,115,115,False
2101,11,2025-12-15,RESTOCK,75,75,False
2327,12,2025-12-15,RESTOCK,78,78,False
2533,13,2025-12-15,RESTOCK,147,147,False
2761,14,2025-12-15,RESTOCK,81,81,False
2974,15,2025-12-15,RESTOCK,98,98,False
3188,16,2025-12-15,RESTOCK,85,85,False
3395,17,2025-12-15,RESTOCK,124,124,False
3620,18,2025-12-15,RESTOCK,144,144,False
3836,19,2025-12-15,RESTOCK,150,150,False
4056,20,2025-12-15,RESTOCK,129,129,False
4264,21,2025-12-15,RESTOCK,135,135,False
4475,22,2025-12-15,RESTOCK,106,106,False
4685,23,2025-12-15,RESTOCK,190,190,False
4874,24,2025-12-15,RESTOCK,99,99,False
5092,25,2025-12-15,RESTOCK,156,156,False
5316,26,2025-12-15,RESTOCK,171,171,False
5512,27,2025-12-15,RESTOCK,184,184,False
5732,28,2025-12-15,RESTOCK,93,93,False
5958,29,2025-12-15,RESTOCK,73,73,False
6160,30,2025-12-15,RESTOCK,156,156,False
6377,31,2025-12-15,RESTOCK,156,156,False
6585,32,2025-12-15,RESTOCK,127,127,False
6799,33,2025-12-15,RESTOCK,97,97,False
7013,34,2025-12-15,RESTOCK,173,173,False
7199,35,2025-12-15,RESTOCK,96,96,False
7425,36,2025-12-15,RESTOCK,65,65,False
7639,37,2025-12-15,RESTOCK,198,198,False
7851,38,2025-12-15,RESTOCK,141,141,False
8064,39,2025-12-15,RESTOCK,197,197,False
8259,40,2025-12-15,RESTOCK,143,143,False
8478,41,2025-12-15,RESTOCK,182,182,False
8710,42,2025-12-15,RESTOCK,110,110,False
8944,43,2025-12-15,RESTOCK,188,188,False
9168,44,2025-12-15,RESTOCK,149,149,False
9353,45,2025-12-15,RESTOCK,93,93,False
9588,46,2025-12-15,RESTOCK,135,135,False
9804,47,2025-12-15,RESTOCK,169,169,False
10018,48,2025-12-15,RESTOCK,81,81,False
10215,49,2025-12-15,RESTOCK,144,144,False
10429,50,2025-12-15,RESTOCK,132,132,False
10646,51,2025-12-15,RESTOCK,110,110,False
10856,52,2025-12-15,RESTOCK,135,135,False
11066,53,2025-12-15,RESTOCK,196,196,False
11281,54,2025-12-15,RESTOCK,165,165,False
11500,55,2025-12-15,RESTOCK,189,189,False
11704,56,2025-12-15,RESTOCK,148,148,False
11937,57,2025-12-15,RESTOCK,139,139,False
12157,58,2025-12-15,RESTOCK,168,168,False
12375,59,2025-12-15,RESTOCK,118,118,False
12570,60,2025-12-15,RESTOCK,127,127,False
2,1,2025-12-16,SALE,9,68,False
223,2,2025-12-16,SALE,3,150,False
420,3,2025-12-16,SALE,4,161,False
628,4,2025-12-16,SALE,8,73,False
852,5,2025-12-16,SALE,1,67,False
1046,6,2025-12-16,SALE,2,85,False
1247,7,2025-12-16,SALE,6,100,False
1458,8,2025-12-16,SALE,5,147,False
1677,9,2025-12-16,SALE,3,110,False
1893,10,2025-12-16,SALE,6,109,False
2102,11,2025-12-16,SALE,5,70,False
2328,12,2025-12-16,SALE,8,70,False
2534,13,2025-12-16,SALE,3,144,False
2762,14,2025-12-16,SALE,2,79,False
2975,15,2025-12-16,SALE,9,89,False
3189,16,2025-12-16,SALE,3,82,False
3396,17,2025-12-16,SALE,7,117,False
3621,18,2025-12-16,SALE,6,138,False
3837,19,2025-12-16,SALE,9,141,False
4057,20,2025-12-16,SALE,7,122,False
4265,21,2025-12-16,SALE,3,132,False
4476,22,2025-12-16,SALE,5,101,False
4686,23,2025-12-16,SALE,4,186,False
4875,24,2025-12-16,SALE,8,91,False
5093,25,2025-12-16,SALE,3,153,False
5317,26,2025-12-16,SALE,1,170,False
5513,27,2025-12-16,SALE,25,159,True
5733,28,2025-12-16,SALE,8,85,False
5959,29,2025-12-16,SALE,2,71,False
6161,30,2025-12-16,SALE,1,155,False
6378,31,2025-12-16,SALE,2,154,False
6586,32,2025-12-16,SALE,8,119,False
6800,33,2025-12-16,SALE,7,90,False
7014,34,2025-12-16,SALE,4,169,False
7200,35,2025-12-16,SALE,6,90,False
7426,36,2025-12-16,SALE,5,60,False
7852,38,2025-12-16,SALE,6,135,False
8065,39,2025-12-16,SALE,7,190,False
8260,40,2025-12-16,SALE,11,132,False
8479,41,2025-12-16,SALE,6,176,False
8711,42,2025-12-16,SALE,15,95,False
8945,43,2025-12-16,SALE,8,180,False
9169,44,2025-12-16,SALE,3,146,False
9354,45,2025-12-16,SALE,4,89,False
9589,46,2025-12-16,SALE,11,124,False
9805,47,2025-12-16,SALE,3,166,False
10019,48,2025-12-16,SALE,5,76,False
10216,49,2025-12-16,SALE,4,140,False
10430,50,2025-12-16,SALE,4,128,False
10647,51,2025-12-16,SALE,6,104,False
10857,52,2025-12-16,SALE,8,127,False
11067,53,2025-12-16,SALE,12,184,False
11282,54,2025-12-16,SALE,8,157,False
11501,55,2025-12-16,SALE,6,183,False
11705,56,2025-12-16,SALE,6,142,False
11938,57,2025-12-16,SALE,9,130,False
12158,58,2025-12-16,SALE,1,167,False
12376,59,2025-12-16,SALE,3,115,False
12571,60,2025-12-16,SALE,5,122,False
3,1,2025-12-17,SALE,8,60,False
224,2,2025-12-17,SALE,3,147,False
421,3,2025-12-17,SALE,3,158,False
629,4,2025-12-17,SALE,6,67,False
853,5,2025-12-17,SALE,3,64,False
1047,6,2025-12-17,SALE,2,83,False
1248,7,2025-12-17,SALE,2,98,False
1459,8,2025-12-17,SALE,3,144,False
1678,9,2025-12-17,SALE,1,109,False
1894,10,2025-12-17,SALE,4,105,False
2103,11,2025-12-17,SALE,4,66,False
2329,12,2025-12-17,SALE,6,64,False
2330,12,2025-12-17,RETURN,4,68,False
2535,13,2025-12-17,SALE,7,137,False
2763,14,2025-12-17,SALE,5,74,False
2976,15,2025-12-17,SALE,6,83,False
3190,16,2025-12-17,SALE,5,77,False
3397,17,2025-12-17,SALE,10,107,False
3622,18,2025-12-17,SALE,3,135,False
3838,19,2025-12-17,SALE,9,132,False
4058,20,2025-12-17,SALE,3,119,False
4266,21,2025-12-17,SALE,3,129,False
4477,22,2025-12-17,SALE,3,98,False
4687,23,2025-12-17,SALE,3,183,False
4876,24,2025-12-17,SALE,12,79,False
5094,25,2025-12-17,SALE,7,146,False
5318,26,2025-12-17,SALE,9,161,False
5514,27,2025-12-17,SALE,3,156,False
5515,27,2025-12-17,RETURN,2,158,False
5734,28,2025-12-17,SALE,9,76,False
5960,29,2025-12-17,SALE,1,70,False
6162,30,2025-12-17,SALE,43,112,True
6163,30,2025-12-17,RETURN,1,113,False
6379,31,2025-12-17,SALE,3,151,False
6587,32,2025-12-17,SALE,13,106,False
6801,33,2025-12-17,SALE,7,83,False
7015,34,2025-12-17,SALE,3,166,True
7201,35,2025-12-17,SALE,7,83,False
7427,36,2025-12-17,SALE,5,55,False
7640,37,2025-12-17,SALE,6,192,False
7853,38,2025-12-17,SALE,7,128,False
8066,39,2025-12-17,SALE,6,184,False
8261,40,2025-12-17,SALE,18,114,False
8480,41,2025-12-17,SALE,11,165,False
8712,42,2025-12-17,SALE,6,89,False
8946,43,2025-12-17,SALE,6,174,False
9170,44,2025-12-17,SALE,4,142,False
9355,45,2025-12-17,SALE,8,81,False
9590,46,2025-12-17,SALE,7,117,False
9806,47,2025-12-17,SALE,5,161,False
10020,48,2025-12-17,SALE,5,71,False
10217,49,2025-12-17,SALE,4,136,False
10431,50,2025-12-17,SALE,5,123,False
10648,51,2025-12-17,SALE,7,97,False
10858,52,2025-12-17,SALE,9,118,False
11068,53,2025-12-17,SALE,5,179,False
11283,54,2025-12-17,SALE,11,146,False
11502,55,2025-12-17,SALE,8,175,False
11706,56,2025-12-17,SALE,6,136,False
11939,57,2025-12-17,SALE,5,125,False
12159,58,2025-12-17,SALE,4,163,False
12377,59,2025-12-17,SALE,3,112,False
12572,60,2025-12-17,SALE,8,114,False
4,1,2025-12-18,SALE,1,59,False
225,2,2025-12-18,SALE,2,145,False
422,3,2025-12-18,SALE,5,153,False
630,4,2025-12-18,SALE,8,59,False
854,5,2025-12-18,SALE,2,62,False
1048,6,2025-12-18,SALE,3,80,False
1249,7,2025-12-18,SALE,5,93,False
1460,8,2025-12-18,SALE,3,141,False
1679,9,2025-12-18,SALE,9,100,False
1680,9,2025-12-18,RETURN,4,104,False
1895,10,2025-12-18,SALE,8,97,False
2331,12,2025-12-18,SALE,2,66,False
2536,13,2025-12-18,SALE,4,133,False
2764,14,2025-12-18,SALE,4,70,False
2977,15,2025-12-18,SALE,6,77,False
3191,16,2025-12-18,SALE,4,73,False
3398,17,2025-12-18,SALE,4,103,False
3623,18,2025-12-18,SALE,6,129,False
3839,19,2025-12-18,SALE,4,128,False
4059,20,2025-12-18,SALE,3,116,False
4267,21,2025-12-18,SALE,2,127,False
4478,22,2025-12-18,SALE,5,93,False
4688,23,2025-12-18,SALE,5,178,False
4877,24,2025-12-18,SALE,7,72,False
5095,25,2025-12-18,SALE,5,141,False
5319,26,2025-12-18,SALE,5,156,False
5516,27,2025-12-18,SALE,5,153,False
5735,28,2025-12-18,SALE,5,71,False
5961,29,2025-12-18,SALE,3,67,False
6164,30,2025-12-18,SALE,7,106,False
6380,31,2025-12-18,SALE,4,147,False
6588,32,2025-12-18,SALE,10,96,False
6802,33,2025-12-18,SALE,3,80,False
7016,34,2025-12-18,SALE,4,162,False
7202,35,2025-12-18,SALE,5,78,False
7428,36,2025-12-18,SALE,5,50,False
7641,37,2025-12-18,SALE,6,186,False
8067,39,2025-12-18,SALE,6,178,False
8262,40,2025-12-18,SALE,8,106,False
8481,41,2025-12-18,SALE,10,155,False
8947,43,2025-12-18,SALE,7,167,False
9171,44,2025-12-18,SALE,3,139,False
9356,45,2025-12-18,SALE,10,71,False
9591,46,2025-12-18,SALE,7,110,False
9807,47,2025-12-18,SALE,3,158,False
10021,48,2025-12-18,SALE,8,63,False
10218,49,2025-12-18,SALE,6,130,False
10432,50,2025-12-18,SALE,8,115,False
10649,51,2025-12-18,SALE,5,92,False
10859,52,2025-12-18,SALE,8,110,False
11069,53,2025-12-18,SALE,7,172,False
11284,54,2025-12-18,SALE,4,142,False
11503,55,2025-12-18,SALE,3,172,False
11707,56,2025-12-18,SALE,4,132,False
11940,57,2025-12-18,SALE,2,123,False
12160,58,2025-12-18,SALE,4,159,False
12378,59,2025-12-18,SALE,4,108,False
12573,60,2025-12-18,SALE,3,111,False
5,1,2025-12-19,SALE,6,53,False
226,2,2025-12-19,SALE,2,143,False
423,3,2025-12-19,SALE,1,152,False
631,4,2025-12-19,SALE,8,51,False
855,5,2025-12-19,SALE,2,60,False
1049,6,2025-12-19,SALE,1,79,False
1250,7,2025-12-19,SALE,2,91,False
1251,7,2025-12-19,RETURN,4,95,False
1461,8,2025-12-19,SALE,4,137,False
1681,9,2025-12-19,SALE,6,98,False
1896,10,2025-12-19,SALE,5,92,False
2104,11,2025-12-19,SALE,10,56,False
2332,12,2025-12-19,SALE,7,59,False
2537,13,2025-12-19,SALE,8,125,False
2765,14,2025-12-19,SALE,5,65,False
2978,15,2025-12-19,SALE,8,69,False
3192,16,2025-12-19,SALE,5,68,False
3399,17,2025-12-19,SALE,6,97,False
3624,18,2025-12-19,SALE,11,118,False
3840,19,2025-12-19,SALE,1,127,False
4060,20,2025-12-19,SALE,6,110,False
4268,21,2025-12-19,SALE,1,126,False
4479,22,2025-12-19,SALE,5,88,False
4689,23,2025-12-19,SALE,2,176,False
4878,24,2025-12-19,SALE,4,68,False
5096,25,2025-12-19,SALE,7,134,False
5320,26,2025-12-19,SALE,6,150,False
5517,27,2025-12-19,SALE,7,146,False
5736,28,2025-12-19,SALE,2,69,False
5962,29,2025-12-19,SALE,2,65,False
6165,30,2025-12-19,SALE,2,104,False
6381,31,2025-12-19,SALE,4,143,False
6589,32,2025-12-19,SALE,2,94,False
6803,33,2025-12-19,SALE,4,76,False
7017,34,2025-12-19,SALE,5,157,False
7203,35,2025-12-19,SALE,3,75,False
7429,36,2025-12-19,SALE,6,44,False
7642,37,2025-12-19,SALE,4,182,False
7854,38,2025-12-19,SALE,9,119,False
8068,39,2025-12-19,SALE,6,172,False
8263,40,2025-12-19,SALE,8,98,False
8482,41,2025-12-19,SALE,7,148,False
8713,42,2025-12-19,SALE,11,78,False
8948,43,2025-12-19,SALE,4,163,False
9172,44,2025-12-19,SALE,4,135,False
9357,45,2025-12-19,SALE,3,68,False
9592,46,2025-12-19,SALE,6,104,False
9808,47,2025-12-19,SALE,11,147,False
10022,48,2025-12-19,SALE,4,59,False
10219,49,2025-12-19,SALE,7,123,False
10433,50,2025-12-19,SALE,5,110,False
10650,51,2025-12-19,SALE,8,84,False
10860,52,2025-12-19,SALE,5,105,False
11070,53,2025-12-19,SALE,15,157,False
11285,54,2025-12-19,SALE,8,134,False
11504,55,2025-12-19,SALE,2,170,False
11708,56,2025-12-19,SALE,18,114,False
11941,57,2025-12-19,SALE,7,116,False
12161,58,2025-12-19,SALE,11,148,False
12379,59,2025-12-19,SALE,2,106,False
12574,60,2025-12-19,SALE,7,104,False
6,1,2025-12-20,SALE,1,52,False
227,2,2025-12-20,SALE,2,141,False
424,3,2025-12-20,SALE,18,134,False
632,4,2025-12-20,SALE,8,43,False
856,5,2025-12-20,SALE,3,57,False
1050,6,2025-12-20,SALE,2,77,False
1252,7,2025-12-20,SALE,24,71,False
1462,8,2025-12-20,SALE,4,133,False
1682,9,2025-12-20,SALE,8,90,False
1897,10,2025-12-20,SALE,4,88,False
2105,11,2025-12-20,SALE,5,51,False
2538,13,2025-12-20,SALE,7,118,False
2766,14,2025-12-20,SALE,7,58,False
2979,15,2025-12-20,SALE,9,60,False
3193,16,2025-12-20,SALE,9,59,False
3400,17,2025-12-20,SALE,28,69,False
3625,18,2025-12-20,SALE,2,116,False
3841,19,2025-12-20,SALE,8,119,False
4061,20,2025-12-20,SALE,7,103,False
4269,21,2025-12-20,SALE,5,121,False
4480,22,2025-12-20,SALE,12,76,False
4690,23,2025-12-20,SALE,2,174,False
4879,24,2025-12-20,SALE,11,57,False
5097,25,2025-12-20,SALE,29,105,False
5321,26,2025-12-20,SALE,5,145,False
5518,27,2025-12-20,SALE,4,142,False
5737,28,2025-12-20,SALE,33,36,False
5963,29,2025-12-20,SALE,1,64,False
6166,30,2025-12-20,SALE,4,100,False
6382,31,2025-12-20,SALE,2,141,False
6590,32,2025-12-20,SALE,11,83,False
6804,33,2025-12-20,SALE,13,63,False
7018,34,2025-12-20,SALE,2,155,False
7204,35,2025-12-20,SALE,2,73,False
7430,36,2025-12-20,SALE,3,41,False
7643,37,2025-12-20,SALE,5,177,False
